Provinsi,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACEH,79.93,86.26,93.5,100,109.22,118.27,126.23,123.47,125.03,127.38
SUMATERA UTARA,75.88,85.04,93.2,100,110.87,122.59,132.8,124.69,127.53,131.34
SUMATERA BARAT,81.33,87.98,93.5,100,108.5,117.92,127.3,122.9,128.82,132.01
RIAU,71.72,83.03,91.79,100,110.46,123.22,137.34,133.55,134.42,134.32
JAMBI,80.11,85.82,93.67,100,107.48,114.27,122.16,115.07,117.71,120.87
SUMATERA SELATAN,75.99,85.54,91.22,100,109.89,121.52,135,124.08,129.06,131.43
BENGKULU,82.63,88.04,94.5,100,108.03,116.06,124.98,114.9,112.2,112.73
LAMPUNG,79.52,85.87,92.83,100,109.9,119.69,132.53,123.59,131.08,135.05
KEP. BANGKA BELITUNG,80.18,87.55,93.76,100,109.51,117.42,126.12,115.56,115.36,116.54
KEP. RIAU,76.97,85.55,92.74,100,107.26,116.46,127.25,119.79,124.72,126.71
DKI JAKARTA,76.33,85.43,90.81,100,110.4,123.35,138,106.1,108.87,113.65
JAWA BARAT,73.49,81.74,90.67,100,112.25,125.07,140.5,134.1,139.04,143.64
JAWA TENGAH,75.75,84.0,91.01,100,109.58,121.46,134.37,123.9,128.38,129.85
DI YOGYAKARTA,80.49,86.41,92.1,100,109.21,118.16,128.86,127.27,127.99,130.68
JAWA TIMUR,76.36,83.7,90.95,100,110.18,120.13,131.52,126.26,126.38,129.3
BANTEN,75.73,83.35,91.38,100,108.62,120.48,134.8,129.4,135.89,139.79
BALI,77.05,82.52,91.77,100,107.98,117.42,127.83,115.64,118.49,119.82
NUSA TENGGARA BARAT,79.75,87.3,93.31,100,108.29,116.27,124.84,109.46,111.61,113.05
NUSA TENGGARA TIMUR,82.74,88.5,93.93,100,102.05,107.27,113.2,98.57,101.25,103.39
KALIMANTAN BARAT,77.23,85.95,93.0,100,108.36,119.64,133.71,128.25,131.31,132.97
KALIMANTAN TENGAH,79.91,85.93,93.44,100,108.39,110.14,117.98,99.34,102.87,104.74
KALIMANTAN SELATAN,76.65,85.31,92.3,100,111.42,123.63,138.78,123.38,123.3,125
KALIMANTAN TIMUR,76.57,83.78,91.38,100,109.92,121.18,134.17,131.13,132.45,134.36
KALIMANTAN UTARA,76.57,83.78,91.38,100,111.5,125.84,140.22,136.56,138.37,141.64
SULAWESI UTARA,83.7,88.31,92.83,100,101.17,106.43,113.14,110.74,112.62,114.87
SULAWESI TENGAH,79.23,85.31,92.86,100,100.36,107.3,115.16,98.29,99.93,102.91
SULAWESI SELATAN,75.72,82.85,91.53,100,109.02,119.7,131.79,129.27,133.59,135.53
SULAWESI TENGGARA,80.72,85.69,92.54,100,108.08,116.18,125.76,107.53,107.82,108.59
GORONTALO,81.94,87.94,93.82,100,107.8,115.48,124.59,112.64,115.07,116.88
SULAWESI BARAT,85.32,89.38,93.53,100,107.36,113.23,119.96,106.84,109.71,111.75
MALUKU,80.55,85.56,92.27,100,107.97,116.88,127.73,111.67,114.23,116.47
MALUKU UTARA,83.85,88.45,93.63,100,107.47,113.85,121.76,110.02,111.81,113.79
PAPUA BARAT,78.44,85.88,92.78,100,109,120.55,133.29,117.6,119.8,121.87
PAPUA,80.99,86.88,92.05,100,109.59,119.53,131.51,114.27,117.3,119.22
INDONESIA,76.47,84.6,91.38,100,109.85,121.23,134.21,118.42,120.72,124.01
